sample,group,short_reads_1,short_reads_2,long_reads
PB1,RestingaBarradeMamanguapeAçude,data/1PB_MaRe_S13_L001_R1_001.fastq.gz,data/1PB_MaRe_S13_L001_R2_001.fastq.gz,
PB1,RestingaBarradeMamanguapeAçude,data/1PB_MaRe_S13_L002_R1_001.fastq.gz,data/1PB_MaRe_S13_L002_R2_001.fastq.gz,
PB11,EstuárioCabedelo,data/11PB_MaRe_S18_L001_R1_001.fastq.gz,data/11PB_MaRe_S18_L001_R2_001.fastq.gz,
PB11,EstuárioCabedelo,data/11PB_MaRe_S18_L002_R1_001.fastq.gz,data/11PB_MaRe_S18_L002_R2_001.fastq.gz,
PB12,RestingaCabedeloRio,data/12PB_MaRe_S19_L001_R1_001.fastq.gz,data/12PB_MaRe_S19_L001_R2_001.fastq.gz,
PB12,RestingaCabedeloRio,data/12PB_MaRe_S19_L002_R1_001.fastq.gz,data/12PB_MaRe_S19_L002_R2_001.fastq.gz,
PB3,RestingaBarradeMamanguape,data/3PB_MaRe_S14_L001_R1_001.fastq.gz,data/3PB_MaRe_S14_L001_R2_001.fastq.gz,
PB3,RestingaBarradeMamanguape,data/3PB_MaRe_S14_L002_R1_001.fastq.gz,data/3PB_MaRe_S14_L002_R2_001.fastq.gz,
PB4,EstuárioBarradeMamanguape,data/4PB_MaRe_S15_L001_R1_001.fastq.gz,data/4PB_MaRe_S15_L001_R2_001.fastq.gz,
PB4,EstuárioBarradeMamanguape,data/4PB_MaRe_S15_L002_R1_001.fastq.gz,data/4PB_MaRe_S15_L002_R2_001.fastq.gz,
PB7,EstuárioBarradeMamanguape,data/7PB_MaRe_S16_L001_R1_001.fastq.gz,data/7PB_MaRe_S16_L001_R2_001.fastq.gz,
PB7,EstuárioBarradeMamanguape,data/7PB_MaRe_S16_L002_R1_001.fastq.gz,data/7PB_MaRe_S16_L002_R2_001.fastq.gz,
PB9,EstuárioCabedelo,data/9PB_MaRe_S17_L001_R1_001.fastq.gz,data/9PB_MaRe_S17_L001_R2_001.fastq.gz,
PB9,EstuárioCabedelo,data/9PB_MaRe_S17_L002_R1_001.fastq.gz,data/9PB_MaRe_S17_L002_R2_001.fastq.gz,
