sample,group,short_reads_1,short_reads_2,long_reads
10_RS3,ArroioTeixeiraInverno,secondround_merged/10_RS3_merged_R1.fastq.gz,secondround_merged/10_RS3_merged_R2.fastq.gz,
1_PB2,Macacos1,secondround_merged/1_PB2_merged_R1.fastq.gz,secondround_merged/1_PB2_merged_R2.fastq.gz,
1_PB3,Macacos1,secondround_merged/1_PB3_merged_R1.fastq.gz,secondround_merged/1_PB3_merged_R2.fastq.gz,
1_RS3,LagoadoPeixeInverno,secondround_merged/1_RS3_merged_R1.fastq.gz,secondround_merged/1_RS3_merged_R2.fastq.gz,
2_PB2,Macacos2,secondround_merged/2_PB2_merged_R1.fastq.gz,secondround_merged/2_PB2_merged_R2.fastq.gz,
2_PB3,Macacos2,secondround_merged/2_PB3_merged_R1.fastq.gz,secondround_merged/2_PB3_merged_R2.fastq.gz,
2_RS3,FarolMostardasInverno,secondround_merged/2_RS3_merged_R1.fastq.gz,secondround_merged/2_RS3_merged_R2.fastq.gz,
3_PB2,Aritingui1,secondround_merged/3_PB2_merged_R1.fastq.gz,secondround_merged/3_PB2_merged_R2.fastq.gz,
3_PB3,Aritingui1,secondround_merged/3_PB3_merged_R1.fastq.gz,secondround_merged/3_PB3_merged_R2.fastq.gz,
3_RS3,BalnearioMostardasInverno,secondround_merged/3_RS3_merged_R1.fastq.gz,secondround_merged/3_RS3_merged_R2.fastq.gz,
4_PB2,BocaRasa1,secondround_merged/4_PB2_merged_R1.fastq.gz,secondround_merged/4_PB2_merged_R2.fastq.gz,
4_PB3,BocaRasa1,secondround_merged/4_PB3_merged_R1.fastq.gz,secondround_merged/4_PB3_merged_R2.fastq.gz,
4_RS3,SaoSimaoInverno,secondround_merged/4_RS3_merged_R1.fastq.gz,secondround_merged/4_RS3_merged_R2.fastq.gz,
5_PB2,BocaRasa2,secondround_merged/5_PB2_merged_R1.fastq.gz,secondround_merged/5_PB2_merged_R2.fastq.gz,
5_PB3,BocaRasa2,secondround_merged/5_PB3_merged_R1.fastq.gz,secondround_merged/5_PB3_merged_R2.fastq.gz,
5_RS3,SolidaoInverno,secondround_merged/5_RS3_merged_R1.fastq.gz,secondround_merged/5_RS3_merged_R2.fastq.gz,
6_PB2,Curima,secondround_merged/6_PB2_merged_R1.fastq.gz,secondround_merged/6_PB2_merged_R2.fastq.gz,
6_PB3,Curima,secondround_merged/6_PB3_merged_R1.fastq.gz,secondround_merged/6_PB3_merged_R2.fastq.gz,
6_RS3,QuintaoInverno,secondround_merged/6_RS3_merged_R1.fastq.gz,secondround_merged/6_RS3_merged_R2.fastq.gz,
7_RS3,CidreiraInverno,secondround_merged/7_RS3_merged_R1.fastq.gz,secondround_merged/7_RS3_merged_R2.fastq.gz,
8_RS3,ImbeInverno,secondround_merged/8_RS3_merged_R1.fastq.gz,secondround_merged/8_RS3_merged_R2.fastq.gz,
9_RS3,CapaodaCanoaInverno,secondround_merged/9_RS3_merged_R1.fastq.gz,secondround_merged/9_RS3_merged_R2.fastq.gz,
